SKU,Produto,Variacao,Vendido_12_meses,Ritmo_mensal,Estoque_atual,Estoque_minimo_3_meses
INFX1600,Fenix Incense Sticks - Rosemary,,9,0.75,4,3
INFX1900,Fenix Incense Sticks - Sea Salt & Guinea,,4,0.33,8,1
INGM0103,Natural Smudge – Lavender for Peace,,3,0.25,28,1
INGM0104,"Natural Smudge – Love, Come to Me!",,11,0.92,4,3
INGM0105,Natural Smudge – Pure Joy!,,14,1.17,0,4
INMS0200,String Smudge,,7,0.58,28,2
INPL0301,"Incense Resin Breu Branco - 1,7Oz (50g)",,9,0.75,4,3
KIEH0100,Condor Eagle Activation Kit,,0,0,0,0
KIFV0100,"Five Tribes Kit - 5 x 0,35oz(10g)",,0,0,0,0
KIHK01,"Huni Kuin Kit - 10 x 0,17oz (5g)",,2,0.17,0,1
KISD0100,"Shawãdawa Kit - 4 x 0,35oz(10g)",,2,0.17,0,1
KISK0100,Rapé Starter Kit,,6,0.5,0,2
KUAA0100,Kuripe - Ararunart,Black,3,0.25,4,1
KUAA0102,Kuripe - Ararunart,White,3,0.25,1,1
KUAA0103,Kuripe - Ararunart,Yellow,0,0,5,0
KUAA0104,Kuripe - Ararunart,Pink,0,0,0,0
KUAA0105,Kuripe - Ararunart,Brown,5,0.42,0,2
KUAA0106,Kuripe - Ararunart,Red,3,0.25,14,1
KUAA0107,Kuripe - Ararunart,Light,1,0.08,0,1
KUAA0300,Kuripe - Feather Ararunart,Brown,1,0.08,5,1
KUAA0301,Kuripe - Feather Ararunart,White,0,0,0,0
KUAA0302,Kuripe - Feather Ararunart,Black,0,0,0,0
KUBA0101,Balinese Wooden Kuripe,Waru Lot,12,1,10,3
KUBA0102,Balinese Wooden Kuripe,Cemara,66,5.5,0,17
KUBA0103,Balinese Wooden Kuripe,Tamarind,0,0,20,0
KUBA0104,Balinese Wooden Kuripe,Dark Waru,28,2.33,23,7
KUBA0105,Balinese Wooden Kuripe,Teak,25,2.08,0,7
KUBA0106,Balinese Wooden Kuripe,Agar,26,2.17,4,7
KUBA0107,Balinese Wooden Kuripe,Crocodile,72,6,14,18
KUBA0109,Balinese Wooden Kuripe,Coconut,0,0,0,0
KUBA0110,Balinese Wooden Kuripe,Dark Sono,0,0,15,0
KUBA0111,Balinese Wooden Kuripe,Iron,0,0,22,0
KUBA0200,Wooden Kuripe From Bali - The Grip,,7,0.58,6,2
KUBA0300,"Kuripe - Fibonacci - Tropical Hard Wood Kuripe, Hand Cut from Bali",,1,0.08,6,1
KUBA0400,"Kuripe - Vine of the Souls - Tropical Hard Wood Kuripe, Hand Carved from Bali",,1,0.08,5,1
KUBA0500,Sacred Vulcano - Lava Kuripe from Bali,,12,1,10,3
KUBA0600,"Kuripe - Jaguar - Tropical Hard Wood Kuripe, Hand Carved from Bali",,8,0.67,3,2
KUBA0700,Wooden Kuripe From Bali - Kambo Power,,8,0.67,2,2
KUBA0800,Wooden Kuripe From Bali - Cosmic Infinity,,6,0.5,4,2
KUBA0900,Wooden Kuripe From Bali - Handheld Power Kuripe,,3,0.25,9,1
KUIE0100,Bamboo Kuripe - Mysterious Coral Snake,,8,0.67,9,2
KUIE0101,Bamboo Kuripe - Ancestral Boa Constrictor,,9,0.75,2,3
KUIE0102,Bamboo Kuripe - Saint George's Sword,,2,0.17,2,1
KUIE0103,Bamboo Kuripe - Blossoming Floral,,8,0.67,11,2
KUIE0104,Bamboo Kuripe Mysterious Black Coral Snake,,0,0,15,0
KUIE0200,Bamboo Kuripe - Sacred Hummingbird,,30,2.5,0,8
KUOF0100,High End Adjustable Kuripe with Sacred Geometry,Pajé,0,0,14,0
KUOF0101,High End Adjustable Kuripe with Sacred Geometry,Honeycomb,3,0.25,7,1
KUOF0102,High End Adjustable Kuripe with Sacred Geometry,Kenê,0,0,3,0
KUOF0200,High End Adjustable Kuripe with Sacred Geometry,Cubic,0,0,2,0
KUOF0201,High End Adjustable Kuripe with Sacred Geometry,Cosmos,2,0.17,2,1
KURF01,Mixed Hardwood Kuripe,,1,0.08,24,1
KURF02,Hardwood Kuripe - Circular,,5,0.42,21,2
KURF0300,Hardwood Kuripe Totem,Hummingbird,1,0.08,3,1
KURF0400,Hardwood Kuripe Totem,Serpent,0,0,5,0
KURF0500,Hardwood Kuripe Totem,Jaguar,1,0.08,3,1
KURF0600,Hardwood Kuripe Totem,Wolf,0,0,5,0
KURF0700,Hardwood Kuripe Totem,Eagle,1,0.08,1,1
KUSE0100,Kuripe - Senna,,12,1,10,3
KUSE0300,Extra‑Large Bamboo Kuripe – Búzios Senna,Green,0,0,6,0
KUSE0301,Extra‑Large Bamboo Kuripe – Búzios Senna,Red,0,0,2,0
KUSE0302,Extra‑Large Bamboo Kuripe – Búzios Senna,Yellow,0,0,5,0
KUSM0100,Steel Kuripe,,24,2,0,6
KUSM0200,Copper Kuripe,,0,0,0,0
